CODIGO_ACCIDENTE;FORMULARIO;FECHA;GRAVEDAD;CLASE;CHOQUE;LONGITUD;LATITUD;CODIGO_LOCALIDAD;TOTAL_MUERTOS;TOTAL_HERIDOS;TEXTO_OBSERVACIONES;CODIGO_CAUSA;DESCRIPCION
14;2014;2/17/2024 12:50 PM;HERIDOS;CHOQUE;OBJETO;-74,04577781;4,757398646;1;;1;SE CONOCE EL EVENTO POR LAS GRAVES LESIONES DEL CONDUCTOR COMO AUTOLESIONES ;157;OTRA HIPÓTESIS (CONDUCTOR)
15;2015;2/17/2024 11:55 AM;HERIDOS;CHOQUE;VEHICULO;-74,16464535;4,627526399;8;;3;NO SE DIAGRAMAN LOS VEHICULOS YA QUE FUERON MOVIDOS DE SU POSCION FINAL;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
16;2016;2/17/2024 10:40 AM;HERIDOS;CHOQUE;VEHICULO;-74,19083712;4,626299277;7;;3;NO SE DIAGRAMAN LOS VEHICULOS YA QUE FUERON  MOVIDOS DE LA POSICION FINAL SE CORRIGE HIPOTESIS YA QUE EXISTE UN VIDEO DONDE SE EVIDENCIA LA MANIOBRA DEL VH2 Y LA HIPOTESIS ES 122 PARA EL VH2;122;GIRAR BRUSCAMENTE
17;2017;2/17/2024 8:15 AM;HERIDOS;CHOQUE;VEHICULO;-74,10549002;4,672893873;10;;1;CORRIJO CEDULA CONDUCTOR VH1 1000018565 IGUALMENTE ACLARO PLACA VH2 LSZ561 SE REALIZA ORDEN DE COMPARENDO N 42396195 AL CONDUCTOR VH1;139;IMPERICIA EN EL MANEJO
18;2018;2/17/2024 3:30 AM;DANOS;CHOQUE;VEHICULO;-74,1667938;4,620636844;8;;;ACCIDENTE DE TRANSITO CALLE 44 SUR CARRERA 80 POSTERIOR SON TRASLADADOS A LA ESTACION DE TRANSITO A PRUEBA DE EMBRIAGUEZ A CONDUCTOR SALIENDO POSITIVO CONDUCTOR NO REALIZA PRUEBA CORRECTAMENTE LEY 1696 ART 5 PARAGRAFO 3 ORDEN DE COMPARENDO 42394381;115;EMBRIAGUEZ O SUSTANCIAS ALUCINOGENAS
19;2019;2/17/2024 1:01 AM;HERIDOS;ATROPELLO;;-74,07144834;4,59454722;3;;3;PEATON NO SUMINISTRA FECHA DE NACIMIENTO ;411;OTRA HIPÓTESIS (PEATÓN)
20;2020;2/17/2024 1:00 AM;MUERTOS;CHOQUE;VEHICULO;-74,16362565;4,642350949;8;1;1;SE REALIZA ORDEN DE COMPARENDO 42394765 POR LA INFRACCION F GRADO 11 AL CONDUCTOR DEL VEHICULO 1;116;EXCESO DE VELOCIDAD
21;2021;2/17/2024 1:00 AM;HERIDOS;CHOQUE;VEHICULO;-74,11839736;4,516384451;5;;1;EL CONDUCTOR DE LA MOTOCICLETA EL SEÑOR BRAYAN GOMEZ V2 MANIFIESTA DE FORMA VOLUNTARIA Y LIBRE SIN COACCION ALGUNA NO QUERER QUERELLAR EN EL MOMENTO CIRCULAR 001 DEL 25052017;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
22;2022;17/02/2024;HERIDOS;ATROPELLO;;-74,1393965;4,57325662;6;;2;411  POR ESTABLECER QUIEN OMITE EL SEMAFORO EN ROJO EL PEATON NO SUMINISTRA DATOS YA QUE SE ENCUENTRA EN  ESTADO CRITICO EN LA UCI ;411;OTRA HIPÓTESIS (PEATÓN)
23;2023;2/16/2024 11:45 PM;HERIDOS;CHOQUE;VEHICULO;-74,1213064;4,721603251;10;;1;SE ADELANTAN 2 ORDENES DE COMPARENDO PARA EL CONDUCTOR DEL VH2 C35 Y C31;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
24;2024;2/16/2024 10:55 PM;HERIDOS;CHOQUE;VEHICULO;-74,12638355;4,696275718;10;;2;NO SE DIAGRAMA VEHICULO 2 YA QUE FUE MOVIDO DE SU POSICION FINAL;103;ADELANTAR CERRANDO
25;2025;2/16/2024 10:30 PM;HERIDOS;CHOQUE;VEHICULO;-74,11036281;4,720997912;10;;1;CHOQUE ENTRE CAMIONETA Y MOTOCICLETA MANIFIESTA EL CONDUCTOR DE LA MOTOCICLETA QUE EL NO SE DETUVO ANTE LA LUZ ROJA DEL SEMAFORO LOS DAÑOS DE LA MOTOCICLETA FUERON EN TODA SU ESTRUCTURA FRONTAL Y DEMAS POR ESTABLECER EN ESTUDIO TECNICO ;142;SEMAFORO EN ROJO
26;2026;2/16/2024 9:10 PM;HERIDOS;CHOQUE;VEHICULO;-74,19527886;4,604560957;7;;3;SE DEJA CONSTANCIA QUE SE LE EXPLICA A LAS PARTES EL DEBIDO PROCESO LAS CUALES LAS TRES PARTES MANIFIESTAN LIBRE Y EXPONTANEAMENTE EN ESTE MOMENTO NO REALIZAR DENUNCIA NI QUERELLA POR LO CUAL NO SE REALIZA PROCEDIMIENTO ANTE FISCALIA POR FALTA DE LA RESPECTIVA DENUNCIA Y QUERELLA RESOLUCION N 01670 ;157;OTRA HIPÓTESIS (CONDUCTOR)
27;2027;2/16/2024 9:10 PM;DANOS;CHOQUE;VEHICULO;-74,15782449;4,641979007;8;;;SE DEJA CONSTANCIA QUE EL SINIESTRO VIAL FUE SOBRE LA CALLE 6 CON CARRERA 87 TENIENDO EN CUENTA QUE AL PARECER EL CONDUCTOR DEL FURGON  SE DIO A LA FUGA Y ES DETENIDO POR PERSONAS EN LA CALLE 2 CON CRA 89;121;NO MANTENER DISTANCIA DE SEGURIDAD
28;2028;2/16/2024 9:00 PM;HERIDOS;CHOQUE;VEHICULO;-74,14293555;4,669045436;9;;1;CONDUCTOR VH2 MANIFIESTA DE FORMA LIBRE Y VOLUNTARIA SIN COACCION ALGUNA N QUERER QUERELLAR EN EL MOMENTO CIRCULAR 001 DEL 25 DE MAYO DEL 2017;122;GIRAR BRUSCAMENTE
29;2029;2/16/2024 8:50 PM;DANOS;CHOQUE;OBJETO;-74,0751159;4,635264703;13;;;SE AFECTA POSTE DE LA ETB CON NUMERO 03014 CUAL SE PARTE POR EL IMPACTO DE LA CAMIONETA;157;OTRA HIPÓTESIS (CONDUCTOR)
30;2030;2/16/2024 8:40 PM;HERIDOS;CHOQUE;OBJETO;-74,13591307;4,659406571;9;;2;CONDUCTOR DEL VH 1 CHOCA CON MURO REBOTANDO Y SIENDO COLISIONADO POR A PARTE POSTERIOR POR EL VH 2 MOTOCICLISTA LA CUAL REBOTA AL CARRIL CHOCANDO CON EL VH3 LAS PARTES INVOLUCRADAS MANIFIESTAN NO DESEAR ADELANTAR QUELERRA SE EXPLICA PROCEDIMIENTO DE DENUNCIAR ;301;AUSENCIA TOTAL O PARCIAL DE SEÑALES
31;2031;2/16/2024 8:38 PM;DANOS;CHOQUE;VEHICULO;-74,08407179;4,623128534;14;;;SE REALIZA 02 ORDENES DE COMPARENDO V2 ZCQ46C 42395650 C35 42395680 Y 01 COMPARENDOS PARA EL V1 D01 42395850 D01 ODF18G;122;GIRAR BRUSCAMENTE
32;2032;2/16/2024 8:11 PM;HERIDOS;CHOQUE;VEHICULO;-74,05678836;4,711289112;11;;1;LA PERSONA LESIONADA NO DESEA INTERPONER QUERELLA ANTE LA AUTORIDAD COMPETENTE;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
33;2033;2/16/2024 8:06 PM;HERIDOS;ATROPELLO;;-74,16126577;4,621492361;8;;3;NO SE DIAGRAMA LA MOTOCICLETA YA QUE FUE MOVIDA DE SU POSICION FINAL;411;OTRA HIPÓTESIS (PEATÓN)
34;2034;2/16/2024 7:20 PM;HERIDOS;CHOQUE;VEHICULO;-74,09937852;4,681076754;10;;2;ES DE ANOTAR QUE NO SE DIAGRAMAN LOS VEHICULOS YA QUE FUERON MOVIDOS;142;SEMAFORO EN ROJO
35;2035;2/16/2024 6:45 PM;HERIDOS;CHOQUE;VEHICULO;-74,15270487;4,659251093;9;;1;LA PARTE INVOLUCRADA MANIFIESTA DE MANERA LIBRE Y ESPONTANEA NO INTERPONER QUERELLA RESOLUCION 01170 Y 03922 DE 2016 CIRCULAR 001 DEL 25 05 2017 SE REALIZA COMPARENDO N 42395213 POR LA INFRACCION D01 CONDUCTOR VEHICULO N 1;139;IMPERICIA EN EL MANEJO
36;2036;2/16/2024 6:00 PM;HERIDOS;ATROPELLO;;-74,14072621;4,581875346;6;;3;CORRIJO DISEÑO DE LA VIA TRAMO DE VIA SE DEJA CONSTANCIA QUE EXISTE SEMAFORO PASO PEATONAL 41 METROS ;411;OTRA HIPÓTESIS (PEATÓN)
37;2037;2/16/2024 4:50 PM;HERIDOS;CHOQUE;VEHICULO;-74,11682778;4,503594302;5;;1;SE DEJA CONSTANCIA QUE LOS PADRES DEL MENOR NO DESEAN QUERELLAR SEÑOR VICTOR HERNANDEZ CEDULA 1054679322 LOS CUALES CONSILIAN EN EL LUGAR CON EL PROPIETARIO DEL VEHICULO TAXI;157;OTRA HIPÓTESIS (CONDUCTOR)
38;2038;2/16/2024 4:00 PM;HERIDOS;CAIDA;;-74,07739309;4,658559306;12;;1;SE EXPLCA PROCEDIMIENTO SOBRE INTERPONER QUERELLA QUE TIENE UN TIEMPO DE 6 MESES PARA HACERLO DE ACUERDO A LA RESOLUCION 0670 Y 03922 DEL 2016 SEGUN ARTICULO 001 DEL 25 05 2017;157;OTRA HIPÓTESIS (CONDUCTOR)
39;2039;2/16/2024 3:00 PM;HERIDOS;CHOQUE;OBJETO;-74,18991847;4,630845499;7;;1;SE DEJA CONSTANCIA QUE EL SEÑOR FELIX ANTONIO SOLANO MANIFIESTA DE MANERA LIBRE Y VOLUNTARIA NO REQUERIR NINGUN PROCEDIMIENTO DE TRANSITO Y NO FIRMA QUERELLA SE LE EXPLICA QUE TIENE 6 MESES PARA HACERLO RESOLUCIONES 01670 Y 03922 DE 2016 CIRCULAR 001 DEL 25052017 FIMA CON SU HUELLA EN LAS 3 HOJAS ;157;OTRA HIPÓTESIS (CONDUCTOR)
40;2040;2/16/2024 2:12 PM;HERIDOS;ATROPELLO;;-74,11878226;4,709439292;10;;1;SE CORRIGE CASILLA 82 NO PORTA SEGURO CIVIL CONTRACTUAL Y EXTRACONTRACTUAL VERIFICADA EN EL RUNT;157;OTRA HIPÓTESIS (CONDUCTOR)
41;2041;2/16/2024 1:50 PM;HERIDOS;CHOQUE;VEHICULO;-74,16080175;4,611988046;8;;1;SE DEJA CONSTANCIA QUE LA SEÑORITA DE NOMBRE LISBEYMAR MICHELLE ARAUJO CV 27676342 NO DESEA INTERPONER QUERELLA APLICO CIRCULAR 001 DEL 25052017 EN CUMPLIMIENTO EN LO DISPUESTO EN RESOLUCION N 01670 Y 03922;157;OTRA HIPÓTESIS (CONDUCTOR)
42;2042;2/16/2024 12:50 PM;HERIDOS;CHOQUE;VEHICULO;-74,14754359;4,680999031;9;;3;VEHICULO N1 RAB81G;122;GIRAR BRUSCAMENTE
43;2043;2/16/2024 12:05 PM;HERIDOS;CHOQUE;VEHICULO;-74,12492452;4,699116833;10;;2;ES DE ANOTAR LO MANIFESTADO POR LA COMUNIDAD QUE EL TAXI DE PLACAS WEW989 CHOCA LA MOTOCILETA Y SE DA A LA FUGA EXIATE VIDEO DE LA NOMENCLATURA 105 C  65 B  22 Y EL LESIONADO TAMBIEN APORTA EL VIDEO;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
44;2044;2/16/2024 11:00 AM;HERIDOS;CHOQUE;VEHICULO;-74,08914117;4,695450539;10;;1;DOS VEHICULOS INVOLUCRADOS LOS CUALES EMPRENDEN LA HUIDA DESPUES DEL CHOQUE NO SE TIENEN DATOS DEL VH2 NI DE SU CONDUCTOR NO SE TIENEN DATOS DEL CONDUCTOR DEL VH1 ACOMPAÑANTE MANIFIESTA TOMAR SERVICIO DE TRANSPORTE POR APP DIDI Y NO CONOCE AL CONDUCTOR CONOZCO EL HECHO EN LA CLINICA SANTA MARIA LOS ;157;OTRA HIPÓTESIS (CONDUCTOR)
45;2045;2/16/2024 10:20 AM;HERIDOS;CHOQUE;VEHICULO;-74,13938431;4,646098721;8;;1;SE DEJA CONSTANCIA QUE LA SEÑORITA LESIONADA NO DESEA INTERPONER QUERELLA RESOLUCION N 01670 Y 03922 CIRCULAR 001 DEL 25052017;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
46;2046;2/16/2024 10:00 AM;HERIDOS;VOLVAMIENTO;;-74,19401286;4,633306408;7;;1;JOVEN CICLISTA TRANSITA POR LA CICLORUTA  EN SU CICLA SUFRE CAIDA Y SE OCASIONA LESIONES EN SU CARA Y EN EL MIEMBRO SUPERIOR DERECHO SU HERMANO MAYOR DE EDAD JAIME EDUARDO GUARNIZO  CC 103369516 MANIFIESTA LO LLEVA POR SU CYS PARA EL CENTRO DE SALUD;157;OTRA HIPÓTESIS (CONDUCTOR)
47;2047;2/16/2024 9:45 AM;HERIDOS;CHOQUE;VEHICULO;-74,1065648;4,578696544;18;;2;EL CONDUCTOR DEL VH1 MANIFIESTA QUE EL VEHICULO QUE SE DA A LA FUGA ES EL TAXI DE PLACAS WPU070 MANIFESTANDO QUE EL CONDUCTOR DE ESTE ES QUIEN LE RETIENE LAS LLAVES DE LA MOTO Y POSTERIORMENTE SE DA A LA FUGA PASAJERA MANIFIESTA NO INTERPONER QUERELLA DE IGUAL MANERA EL CONDUCTOR VH1;122;GIRAR BRUSCAMENTE
48;2048;2/16/2024 8:24 AM;HERIDOS;ATROPELLO;;-74,13771329;4,631683626;8;;3;SE NOTIFICA COMPARENDO 42394218 POR LA INFRACCION D02 TRANSITAR CON EL SEGURO OBLIGATORIO SOAT VENCIDO DE IGUAL FORMA SE NOTIFICA COMPARENDO 42394223 POR LA INFRACCION B02 TRANSITAR CON LA LICENCIA DE CONDUCCION VENCIDA 10 06 2023 NO SE DIAGRAMA MOTO YA QUE FUE MOVIDA DE SU POSICION FINAL;411;OTRA HIPÓTESIS (PEATÓN)
49;2049;2/16/2024 8:03 AM;HERIDOS;CHOQUE;VEHICULO;-74,17346205;4,633752788;8;;1;VH2 PATINETA MOVIDA POSICION FINAL LOCALIDAD KENNEDY;103;ADELANTAR CERRANDO
50;2050;2/16/2024 8:00 AM;HERIDOS;CHOQUE;VEHICULO;-74,10911826;4,506729005;5;;1;HIPOTESIS 139 PARA EL CONDUCTOR VH2 SE DILIGENCIA ORDEN DE COMPARENDO N 42394082 INFRACCION D01 TENIENDO EN CUENTA LA CIRCULAR 001 DEL 25052017 SE SOLICITA QUERELLA A CARLOS LAVERDE AL CUAL MANIFIESTA NO QUERER QUERELLAR POR TAL MOTIVO SE LE INFORMA QUE APARTIR DEL MOMENTO TIENE 6 MESES PARA QUERELL;157;OTRA HIPÓTESIS (CONDUCTOR)
51;2051;2/16/2024 7:38 AM;HERIDOS;CAIDA;;-74,15519325;4,632055235;8;;1;ACLARO QUE EN LA CASILLA 8 QUE EL CONDUCTOR SE ENCUENTRA ILESO;119;FRENAR BRUSCAMENTE
52;2052;2/16/2024 5:50 AM;HERIDOS;CHOQUE;VEHICULO;-74,19752493;4,610558397;7;;2;VEHICULO 2 EN FIGA VEHICULO 1 MOVIO DE SU POSICION FINAL SE NOTIFICA ORDEN DE COMPARENDO D12 AL CONDUCTOR VEHICULO 42393017;157;OTRA HIPÓTESIS (CONDUCTOR)
53;2053;2/16/2024 1:20 AM;HERIDOS;ATROPELLO;;-74,14518371;4,591627163;6;;1;EL PEATON UNA CARRETILLA DE TRACCION HUMANA LA EMPUJABA SOBRE LA CALZADA  RAPIDA DE LA VIA MIDIENDO ANCHO 127 LARGO 29 5 ALTO 155 LA CARRETILLA ;404;TRANSITAR POR LA CALZADA
54;2054;2/15/2024 9:50 PM;HERIDOS;CHOQUE;OBJETO;-74,15494112;4,569862753;19;;2;VEHICULO 1 CHOCA CON EL VEICULO QUE SE ENCUENTRA ESTACIONADO POSTERIORMENTE PIERDE EL CONTROL Y SE OCASIONA EL VOLCAMIENTO TOTAL DEBIDO A QUE SE ABRE LA PUERTA DEL VEHICULO ESTACIONADO SIN PRECAUCION SE ESNUENTRA EL SÑR JHON MONSALVE CC1022996845 RESPONSABLE ANEXA COMPARENDO 42392939 42343001 ;157;OTRA HIPÓTESIS (CONDUCTOR)
55;2055;2/15/2024 7:40 PM;HERIDOS;CHOQUE;VEHICULO;-74,05572084;4,722272984;11;;2;SE CORRIGE CASILLA N8 CONDUCTOR SE TRASLADA A CENTRO ASISTENCIAL YA QUE MANIFIESTA PRESENTAR DOLOR LUMBAL SANTA ANA;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
56;2056;2/15/2024 7:08 PM;HERIDOS;CHOQUE;VEHICULO;-74,09878103;4,580637611;15;;1;CORRIJO VENCIMIENTO SOAT VH1 28092024 N POLIZA 86524568 COMPAÑIA MUNDIAL DE SEGUROS CORRIJO N REVISION TEC VH1 169567438 ;102;ADELANTAR POR LA DERECHA
57;2057;2/15/2024 6:25 PM;HERIDOS;CHOQUE;VEHICULO;-74,1793519;4,597082993;7;;2;SE CONOCE SIN QUERELLAS BAJO RESOLUCION 01670 Y 03922 DE 2016 Y CIRCULAR 001 DEL 25 DE MAYO DE 2017 CONDUCTOR DE LA MOTO NO QUERELLA EN EL MOMENTO CONDUCTOR VH2 ES DE NACIONALIDAD DE EGIPTO;121;NO MANTENER DISTANCIA DE SEGURIDAD
58;2058;2/15/2024 5:13 PM;HERIDOS;CHOQUE;VEHICULO;-74,11698786;4,627922072;16;;4;ENTREGO DOCUMENTOS A LOS CONDUCTORES DE LOS VEHICULOS Y ACOMPAÑANTE ANEXO VEHICULO 4380;103;ADELANTAR CERRANDO
59;2059;2/15/2024 5:00 PM;HERIDOS;ATROPELLO;;-74,11463387;4,510626596;5;;1;411 NO HACER USO DEL PASO PEATONAL QUE SE ENCONTRABA A 100 MTS MANIFIESTAN PLACA DEL VEHICULO EN FUGA VDP376;411;OTRA HIPÓTESIS (PEATÓN)
60;2060;2/15/2024 4:50 PM;HERIDOS;ATROPELLO;;-74,0608385;4,687687502;12;;2;SE DESCONOCE EL PARADERO DEL PEATON CON EL QUE SE PRODUJO EL ACCIDENTE ;157;OTRA HIPÓTESIS (CONDUCTOR)
61;2061;2/15/2024 3:20 PM;HERIDOS;ATROPELLO;;-74,11783276;4,588744047;18;;1;PÓR ESTABLECER SI EL VEHICULO PASA EL SEMAFORO EN LUZ ROJA HAGO ENTREGA AL CONDUCTOR DOCUMENTOS COMPLETOS;411;OTRA HIPÓTESIS (PEATÓN)
62;2062;2/15/2024 1:05 PM;HERIDOS;ATROPELLO;;-74,09915922;4,610744856;16;;1;LA CLASE DE VEHICULO N1 ES UN BICIMOTOR;409;CRUZAR SIN OBSERVAR
63;2063;2/15/2024 12:00 PM;HERIDOS;VOLVAMIENTO;;-74,09960518;4,647888177;13;;1;PRESENCIA DE BARRO SOBRE LA VIA PRODUCE LA CAIDA DEL MOTOCICLISTA ;303;SUPERFICIE LISA
64;2064;2/15/2024 11:00 AM;HERIDOS;CHOQUE;VEHICULO;-74,14409331;4,646142709;8;;1;NO DESEAN INTERPONER QUERELLA YA QUE SU PADRE DECIDE CONCILIAR ;157;OTRA HIPÓTESIS (CONDUCTOR)
65;2065;2/15/2024 10:52 AM;HERIDOS;CHOQUE;VEHICULO;-74,14613811;4,564772044;19;;2;SOAT VH1 ASEGURADORA SEGUROS GENERALES SURAMERICANA VH2 SE VAN DEL LUGAR DE LOS HECHOS AL LLEGAR AL LUGAR  DE LOS HECHOS NO SE ENCONTRABA EL VH2;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
66;2066;2/15/2024 10:00 AM;HERIDOS;CHOQUE;VEHICULO;-74,07814704;4,666149629;12;;1;SE DEJA CONSTANCIA QUE LA SEÑORA LESIONADA NO DESEA FIRMAR QUERELLA DE IGUAL MANERA LAS PARTES INVOLUCRADAS LLEGAN A UN ACUERDO DIRECTO EN EL LUGAR POR LA SUMA DE 300 MIL PESOS REALIZADOS DE PARTE DEL VEHICULO N 2 AL VEHICULO N 1 ;103;ADELANTAR CERRANDO
67;2067;2/15/2024 9:20 AM;HERIDOS;CHOQUE;VEHICULO;-74,15868548;4,633573752;8;;1;ACLARO CASILLA 83 PARA LOS DOS VEHICULOS 1 Y 2 SE TRATA DE UN VEHICULO FRACCION HUMANA PARA LOS DOS VEHICULOS CONDUCTOR VH1 ES CIUDADANO VENEZOLANO PERMISO N 6488265 CEDULA VENEZOLANA 11867273;157;OTRA HIPÓTESIS (CONDUCTOR)
68;2068;2/15/2024 7:05 AM;HERIDOS;CHOQUE;VEHICULO;-74,05779319;4,644004868;2;;1;NO SE DIAGRAMA EL VEICULO 2 YA QUE FUE MOVIO DEL PUNTO DE IMPACTO A POSICION FINAL;132;NO RESPETAR PRELACION
69;2069;2/15/2024 7:00 AM;HERIDOS;CHOQUE;VEHICULO;-74,08476335;4,544269901;4;;2;EN LA VIA NUMERO 2 EXISTE PASO SEGURO DE PEATONES ARTICULO 63 PARA EL BVEHICUO N1 TENIENDO EN CUENTA QUE DE MAERA VOLUNTARIA CADA UNO DE LOS CONDUCTORES DECIDEN NO QUERELLAR NO SE DEJA A DISPOSICION DE LA AUTORIDAD COMPETENTE CIRCULAR 001 DE 25 05 2017 RESOLUCION 01670 Y 0392 DE 2016;157;OTRA HIPÓTESIS (CONDUCTOR)
70;2070;2/15/2024 4:00 AM;MUERTOS;CHOQUE;OBJETO;-74,05822066;4,679464577;2;1;;CORRECION CASILLA 6 4 DISEÑO DE LA VIA NO ES PASO A NIVEL ES PASO ELEVADO NO SE LOGRA OBTENER INFORMACION NI DE LA MOTOCICLETA NI DEL OCCISO ANEXO FPJ16 BOSQUEJO DE ALTIMETRIA;116;EXCESO DE VELOCIDAD
71;2071;2/15/2024 3:30 AM;HERIDOS;VOLVAMIENTO;;-74,18091027;4,608966957;7;;1;EL VEHICULO 1 NO SE DIAGRAMA YA QUE AL LLEGAR AL LUGAR SE OBSERVA A UN COSTADO DE LA VIA LA CONDUTORA MANIFIESTA QUE YA LO HABIAN MOVIDO DE LA POSICON FINAL DEL IMPACTO ;303;SUPERFICIE LISA
72;2072;2/14/2024 9:42 PM;DANOS;CHOQUE;VEHICULO;-74,08150858;4,752191172;11;;;AL CONDUCTOR DE EL VH1 SE LE REALIZA LA PRUEBA POR TAMIZAJE PRUEBA 06112 NEGATIVA AL CONDUCTOR DE EL VH2 SE LE REALIZA PRUEBA DE EMBRIAGUEZ LA CUAL SE REALIZA POR NEGACIÓN GRADO 3 COMPARENDOS REALIZADOS 42350154 42350493;127;TRANSITAR EN CONTRAVIA
73;2073;2/14/2024 8:30 PM;HERIDOS;CHOQUE;VEHICULO;-74,10006578;4,73382038;11;;1;LA MOTOCICLETA DE PLACAS WLP28E DE SERVICIO PARTICULAR NO SE DIAGRAMA YA QUE FUE MOVIDA DE SU POSICION FINAL;121;NO MANTENER DISTANCIA DE SEGURIDAD
74;2074;2/14/2024 7:00 PM;HERIDOS;ATROPELLO;;-74,11106358;4,75157737;11;;2;SE DEJA CONSTANCIA QUE EL VH1 ES UN BICITAXI ELECTRICO QUE NO CUENTA CON NINGUN NUMERO DE IDENTIFICCION DE MOTOR NI TAMPOCO DE CHASIS;157;OTRA HIPÓTESIS (CONDUCTOR)
